tile,id,centroid,area_m2,min_veg_distance_m,risk_score,zone_1a_veg_density,zone_1b_veg_density,zone_2_veg_density,overlay_image
688f8a1f_07680_06656,0,"(355, 289)",217.9,5.2,0.05,0.0,0.017,0.0,overlay/688f8a1f_07680_06656.png
688f8a1f_07680_06656,1,"(333, 53)",101.3,6.82,0.08,0.0,0.027,0.0,overlay/688f8a1f_07680_06656.png
688f8a1f_07680_07168,0,"(453, 60)",49.8,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_07680_07168.png
688f8a1f_07680_07680,0,"(165, 331)",259.3,1.65,0.91,0.0,0.274,0.067,overlay/688f8a1f_07680_07680.png
688f8a1f_07680_07680,1,"(494, 66)",15.8,6.2,0.79,0.0,0.209,0.133,overlay/688f8a1f_07680_07680.png
688f8a1f_07680_07680,2,"(79, 52)",62.6,6.52,0.48,0.0,0.09,0.169,overlay/688f8a1f_07680_07680.png
688f8a1f_07680_08192,0,"(96, 481)",38.3,5.23,0.24,0.0,0.048,0.069,overlay/688f8a1f_07680_08192.png
688f8a1f_07680_08192,1,"(86, 287)",106.3,0.27,0.67,0.087,0.041,0.089,overlay/688f8a1f_07680_08192.png
688f8a1f_07680_08192,2,"(52, 69)",53.4,0.0,1.44,0.258,0.008,0.071,overlay/688f8a1f_07680_08192.png
688f8a1f_07680_08704,0,"(455, 479)",23.7,0.0,3.26,0.413,0.213,0.266,overlay/688f8a1f_07680_08704.png
688f8a1f_07680_08704,1,"(448, 39)",36.5,0.0,3.22,0.36,0.308,0.252,overlay/688f8a1f_07680_08704.png
688f8a1f_07680_08704,2,"(196, 35)",79.7,0.9,1.96,0.033,0.536,0.152,overlay/688f8a1f_07680_08704.png
688f8a1f_07680_09216,0,"(271, 480)",40.5,0.0,3.69,0.509,0.34,0.097,overlay/688f8a1f_07680_09216.png
688f8a1f_07680_09216,1,"(465, 456)",35.9,1.42,1.13,0.002,0.28,0.202,overlay/688f8a1f_07680_09216.png
688f8a1f_07680_09216,2,"(243, 30)",25.6,0.65,1.13,0.093,0.116,0.254,overlay/688f8a1f_07680_09216.png
688f8a1f_07680_09216,3,"(59, 45)",22.7,0.0,2.2,0.302,0.136,0.227,overlay/688f8a1f_07680_09216.png
688f8a1f_07680_09728,0,"(78, 455)",61.6,17.28,0.06,0.0,0.0,0.046,overlay/688f8a1f_07680_09728.png
688f8a1f_07680_09728,1,"(308, 434)",137.2,16.96,0.09,0.0,0.0,0.074,overlay/688f8a1f_07680_09728.png
688f8a1f_07680_09728,2,"(487, 407)",24.9,24.82,0.22,0.0,0.0,0.035,overlay/688f8a1f_07680_09728.png
688f8a1f_07680_10240,0,"(88, 402)",97.0,4.55,0.09,0.0,0.008,0.049,overlay/688f8a1f_07680_10240.png
688f8a1f_07680_10752,0,"(250, 265)",221.8,0.0,0.85,0.055,0.159,0.079,overlay/688f8a1f_07680_10752.png
688f8a1f_07680_11264,0,"(214, 245)",240.0,0.0,2.07,0.27,0.206,0.08,overlay/688f8a1f_07680_11264.png
688f8a1f_07680_11776,0,"(304, 107)",37.5,0.0,1.97,0.3,0.084,0.176,overlay/688f8a1f_07680_11776.png
688f8a1f_07680_12288,0,"(117, 146)",120.4,0.63,0.64,0.034,0.147,0.021,overlay/688f8a1f_07680_12288.png
688f8a1f_07680_13824,0,"(392, 304)",357.3,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_07680_13824.png
